window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_used_for_distance,center_extrapolated,center_extrapolation_side,center_track_time_min_pt,center_track_time_max_pt,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_distance_method,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-07-08 08:00:00,0.0,29.9,-95.7,track,1,0,within,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-09 08:00:00,24.0,36.0,-91.4,track,1,0,within,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-10 08:00:00,48.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-11 08:00:00,72.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-12 08:00:00,96.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-13 08:00:00,120.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-14 08:00:00,144.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-15 08:00:00,168.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-16 08:00:00,192.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-17 08:00:00,216.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-18 08:00:00,240.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-19 08:00:00,264.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-20 08:00:00,288.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-21 08:00:00,312.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-07-22 08:00:00,336.0,38.9,-87.0,track_extrapolated,1,1,after,2024-06-29 11:00:00,2024-07-09 17:00:00,radial,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl,0,,,0,,,,,,0,,0,0,0,,,0,,,
