slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,fit_method,tau50_h,tau50_lower_bound
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,519.0,0.1426724059165762,monotone_truncated,168.0,1
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,4.0,0.2361301317007472,monotone_truncated,24.0,0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.0,0.24076115611938526,monotone_truncated,48.0,0
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,63.0,0.5637501440286489,monotone_truncated,96.0,0
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,EVAC,220.0,0.04413284569152167,monotone_truncated,,0
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,48.0,0.08680429113640102,monotone_truncated,24.0,0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,264.0,0.21994754521327317,monotone_truncated,,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,179.75,0.18616370552199735,monotone_truncated,120.0,0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,-1.0,0.1131340460233175,monotone_truncated,288.0,1
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,48.0,0.4859721502432578,monotone_truncated,264.0,0
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.0,0.19681374167841237,monotone_truncated,216.0,1
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,304.0,0.11161292058009191,monotone_truncated,24.0,1
park_fire_2024,park_fire1,wildfire,INFL,497.1333333333333,0.06584986260321869,monotone_truncated,,0
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,161.13333333333333,0.03950909683095676,monotone_truncated,288.0,1
spain_flood,spain_flood,flood,INFL,120.5,0.1268297089427715,monotone_truncated,120.0,1
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,36.0,0.21193679634191,monotone_truncated,48.0,0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,255.0,0.10874257943783087,monotone_truncated,48.0,0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,INFL,16.0,0.08872607418470607,monotone_truncated,96.0,0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,72.0,0.06315526696395692,monotone_truncated,24.0,0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,NEUTRAL,297.0,0.13004533817237074,monotone_truncated,24.0,1
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,NEUTRAL,36.0,0.2973716938876105,monotone_truncated,48.0,0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,9.0,0.1391423238696797,monotone_truncated,120.0,0
turkiye_earthquake_2023,turkiye,earthquake,INFL,16.0,0.40114008822652447,monotone_truncated,816.0,1
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,-13.666666666666666,0.1343457827368733,monotone_truncated,264.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,29.0,0.3173934156827427,monotone_truncated,72.0,0
