slug,short_name,disaster_type,event_type,t_peak_hours,t_peak_source,D_peak,near_delta,r_bin_km,bin_type,peak_delta_mean,delta0_signed,delta0_abs,n_post_points,t50_h,abs_delta_24h,abs_delta_72h,R24_72,metric_ok_t50,metric_ok_R24_72,metric_primary,daily_avg_applied,median_step_hours_raw
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,0.0,EVAC,-0.26078587363230143,-0.26078587363230143,0.26078587363230143,12,24.0,0.046802075229179674,0.04622785058194926,0.9877307866281878,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,10.0,EVAC,-0.1863921467962051,-0.1863921467962051,0.1863921467962051,12,24.0,0.006635703326341595,0.015917059372193603,2.3986996689571742,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,20.0,EVAC,-0.14258447666365479,-0.14258447666365479,0.14258447666365479,12,24.0,0.02961066965716978,0.003132331979400179,0.10578389532104795,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,30.0,EVAC,-0.2013443433638948,-0.2013443433638948,0.2013443433638948,12,24.0,0.022875942792038046,0.0038782268827513753,0.16953298572250272,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,40.0,EVAC,-0.2786844441733854,-0.2786844441733854,0.2786844441733854,12,24.0,0.023422430498779196,0.03319541990012087,1.4172491578895305,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,50.0,EVAC,-0.2765478954089476,-0.2765478954089476,0.2765478954089476,12,24.0,0.055049455708375196,0.05175332913519115,0.9401242658847474,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,60.0,EVAC,-0.29639126347331907,-0.29639126347331907,0.29639126347331907,12,24.0,0.06307098646717764,0.05407725508571518,0.8574030329120851,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,70.0,EVAC,-0.31027482057401495,-0.31027482057401495,0.31027482057401495,12,24.0,0.08154440785053829,0.07377749987971598,0.9047524143524571,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,80.0,EVAC,-0.31182495301067753,-0.31182495301067753,0.31182495301067753,12,24.0,0.08147456199452759,0.04730500998353634,0.5806107921968784,1,1,R24_72,1,8.0
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,536.0,preferred_snap,0.2803103107878576,-0.2243898633397315,90.0,EVAC,-0.27621320994667015,-0.27621320994667015,0.27621320994667015,12,24.0,0.06773880586254118,0.04097711845083892,0.6049282671736441,1,1,R24_72,1,8.0
