window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,center_used_for_distance,center_extrapolated,center_extrapolation_side,center_track_time_min_pt,center_track_time_max_pt,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_distance_method,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-10-02 08:00:00,-13.666666666666666,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-03 08:00:00,10.333333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-04 08:00:00,34.333333333333336,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-05 08:00:00,58.333333333333336,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-06 08:00:00,82.33333333333333,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-07 08:00:00,106.33333333333333,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-08 08:00:00,130.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-09 08:00:00,154.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-10 08:00:00,178.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-11 08:00:00,202.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-12 08:00:00,226.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
2024-10-13 08:00:00,250.33333333333334,22.556,120.311,static,1,0,,,,radial,,America/Los_Angeles,Krathon,0,,,0,,,,,,0,,0,0,0,,,0,,,
