group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,10,0.7273971161797802,0.09879644980854824,0.13582188822443744,good
all,0.5,1.0,11,0.6759363464218556,0.1243995236711415,0.18404029363070093,good
all,1.0,1.5,15,0.559087536541665,0.20040537388654234,0.3584507984674194,medium
all,1.5,2.0,3,0.255152121551791,0.053791282187880735,0.21082043864942793,good
all,2.0,2.5,7,0.2983272948861183,0.10413260440605321,0.3490549010803861,medium
all,2.5,3.0,3,0.22630775739632494,0.09125369233336272,0.4032283001839539,medium
EVAC,0.0,0.5,3,0.7746360910699756,0.07971352393387643,0.10290447973289128,good
EVAC,0.5,1.0,4,0.5989340071019869,0.11219088641324192,0.1873176094242683,good
EVAC,1.0,1.5,6,0.41902239528562507,0.14821793307978973,0.35372317744200166,medium
EVAC,1.5,2.0,3,0.255152121551791,0.053791282187880735,0.21082043864942793,good
EVAC,2.0,2.5,5,0.2537163856951339,0.07345550696477704,0.2895181829250923,good
EVAC,2.5,3.0,3,0.22630775739632494,0.09125369233336272,0.4032283001839539,medium
INFL,0.0,0.5,7,0.7071518412268395,0.10454225167013642,0.14783564939711646,good
INFL,0.5,1.0,7,0.7199376831760663,0.11526908042884632,0.16010980272671235,good
INFL,1.0,1.5,9,0.6524642973790252,0.17897177779383888,0.27430125834130015,good
INFL,1.5,2.0,0,,,,insufficient
INFL,2.0,2.5,2,0.40985456786357943,0.09301300155734261,,insufficient
INFL,2.5,3.0,0,,,,insufficient
