slug,name,event_type,r0_km,y_max
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,140.1127488016347,0.1306015170967939
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,60.207468024928296,0.1955532730610361
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,32.421558053412035,0.9801430115286617
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,,0.5025469785441976
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,368.4293086789583,0.13686294263637677
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,10.23289769911984,0.2736134164372078
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,19.090883365638316,0.5637534035315275
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,310.26339240575624,0.9104025078554567
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,,
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,,
park_fire_2024,"The Park Fire in Northern California, US",wildfire,,
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,,
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",flood,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,,
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,,
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,,
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,,
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,,
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,22.766350723975002,0.4427498808406569
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,383.4814579437601,0.3204226412912802
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,310.18918599249287,0.2120986120261209
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,,
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,,0.21490871426165425
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,22.375338985526774,0.5965614066813829
wildfires_in_boise_county_idaho_27_august_2024,Wildfires In Boise County Idaho 27 August 2024,wildfire,,
